id;rating;user_name;user_comments
1;67026;system mobile invoice;Tanzania innovate Applications
2;84559;interface Fish;morph Product
3;4657;one-to-one France Connecticut;Handmade Fresh Keyboard bypassing Baby
4;35374;New Israeli Sheqel;Overpass
5;69991;projection ivory Handmade Wooden Shoes;indexing
6;17665;Buckinghamshire payment;compressing
7;71034;alarm compressing Malawi;leverage efficient
8;61990;deposit;Rustic Mauritius
9;24481;Legacy green;Highway neural bypassing
10;84246;Networked Connecticut Computer;dot-com Guatemala e-enable
