id;product_name;product_description;price;approval;show_status;product_type;video;video_content_type;product_date;updated_date;user_name
1;Generic Steel Tuna;website calculating;578;IN_PROGRESS;true;OUT_DOOR_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-05;2020-10-04;THX actuating
2;deposit Division Rustic Steel Soap;withdrawal navigating Metical;439;IN_PROGRESS;false;INDOOR_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-05;2020-10-05;Malagasy Ariary Gloves
3;Drive neutral;Rustic Concrete Car;789;DECLINED;true;INDOOR_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-04;distributed Dynamic auxiliary
4;Human New Mexico Implementation;Awesome Wooden Shirt;282;APPROVED;true;INDOOR_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-04;Intelligent
5;SMSXX;Gorgeous Rubber Cheese quantifying;177;DECLINED;true;MAINTAINENCE;../fake-data/blob/hipster.png;image/png;2020-10-05;2020-10-05;Arizona Buckinghamshire
6;Practical AGP Implementation;wireless navigate grey;461;DECLINED;true;ARTIFICIAL_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-05;2020-10-04;Handcrafted
7;full-range;Consultant Chair;921;IN_PROGRESS;true;OUT_DOOR_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-04;Mobility multi-byte Incredible Steel Soap
8;IBXXX;Martinique Industrial Rustic;260;APPROVED;true;MAINTAINENCE;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-05;Tuvalu
9;online multi-byte Checking Account;Coordinator Bedfordshire;920;DECLINED;false;ARTIFICIAL_PLANT;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-04;executive
10;mobile;Sleek Gateway program;971;IN_PROGRESS;false;MAINTAINENCE;../fake-data/blob/hipster.png;image/png;2020-10-04;2020-10-04;global
