id;symbol;price;last_trade
1;salmon;54898;2020-10-05T01:33:30
2;tertiary Product Bedfordshire;24943;2020-10-04T15:56:53
3;Producer THX;30345;2020-10-05T03:15:50
4;calculating;85320;2020-10-04T11:16:58
5;withdrawal interface;38964;2020-10-04T22:27:43
6;Web;48670;2020-10-05T09:56:35
7;International;14564;2020-10-04T23:56:54
8;interface Locks;63660;2020-10-04T13:09:20
9;Facilitator Arizona;79445;2020-10-05T01:19:28
10;Fantastic Concrete Gloves Personal Loan Account Internal;12286;2020-10-05T08:54:17
